Stem,Definition,Examples
-abine,"(see -arabine, -citabine)",decitabine
-ac,Anti-inflammatory agents (acetic acid derivatives),bromfenac; dexpemedolac
-acetam,See -racetam,
-actide,Synthetic corticotropins,seractide
"-adol, -aldol-",Analgesics (mixed opiate receptor agonists/ antagonists),tazadolene; spiradolene; levonantradol
-adox,Antibacterials (quinoline dioxide derivatives),carbadox
-afenone,Antiarrhythmics (propafenone derivatives),alprafenone; diprafenone
-afil,PDE5 inhibitors,tadalafil
-aj-,Antiarrhythmics (ajmaline derivatives),lorajmine
-aldrate,Antacid aluminum salts,magaldrate
-algron,Alpha1 - and alpha2 - adrenoreceptor agonists,dabuzalgron
-alol,Combined alpha and beta blockers,labetalol; medroxalol
-amivir,(see -vir),
-ampa,Ionotropic non-NMDA glutamate receptors (AMPA and/or KA receptors),
subgroups:,,
-ampanel,Ionotropic non-NMDA glutamate receptors (AMPA and/or KA receptors); antagonists,becampanel
-ampator,Ionotropic non-NMDA glutamate receptors (AMPA and/or KA receptors); modulators,forampator
-andr-,Androgens,nandrolone
-anib,Angiogenesis inhibitors,semaxanib
-anserin,Serotonin 5-HT2 receptor antagonists,altanserin; tropanserin; adatanserin
-antel,Anthelmintics (undefined group),carbantel
-antrone,Antineoplastics; anthraquinone derivatives,pixantrone
-apsel,P-selectin antagonists,torapsel
-arabine,Antineoplastics (arabinofuranosyl derivatives),fazarabine; fludarabine
"aril-, -aril, -aril-",Antiviral (arildone derivatives),pleconaril; arildone; fosarilate
-arit,Antirheumatics (lobenzarit type),lobenzarit; clobuzarit
-arol,Anticoagulants (dicumarol type),dicumarol
-arone,Antiarrhythmics,amiodarone; dronedarone
-arot-,Arotinoids,etarotene; sumarotene; tazarotene
subgroup:,,
-arotene,Arotinoid derivatives,bexarotene; linarotene; tazarotene
arte-,Antimalarials (artemisin derivatives),arteflene
-ase,Enzymes,alglucerase; dornase alfa
subgroups:,,
-dismase,Enzymes; superoxide dismutase activity (exception: orgotein),sudismase
-teplase,Enzymes; tissue-type plasminogen activators,alteplase; duteplase; silteplase
-uplase,Enzymes; urokinase-type plasminogen activators,saruplase; nasaruplase
-ast,Antiasthmatics/antiallergics (not acting primarily as antihistamines; leukotriene biosynthesis inhibitors),
subgroups:,,
